gid,NUMPOINTS,경도,위도
마라15aa69bb,0,128.7618516,35.01730836
마라15ab69ab,0,128.7645217,35.01277223
마라15ab69ba,0,128.7645564,35.01502604
마라15ba69ab,0,128.7672612,35.01274366
마라15ba69ba,0,128.7672959,35.01499746
마라15bb69ab,0,128.7700006,35.01271502
마라15bb69ba,0,128.7700354,35.01496882
마라16aa69aa,0,128.7727051,35.01043252
마라16aa69ab,0,128.77274,35.01268632
마라16aa69ba,0,128.7727749,35.01494012
마라16ab69aa,0,128.7754444,35.01040376
마라16ab69ab,0,128.7754794,35.01265756
마라16ab69ba,0,128.7755144,35.01491135
마라17ba75ab,0,128.7900265,35.06660338
마라17ba75ba,0,128.790062,35.06885714
마라17bb74bb,0,128.7926966,35.06206667
마라17bb75aa,0,128.7927322,35.06432043
마라17bb75ab,0,128.7927677,35.06657419
마라17bb75ba,0,128.7928033,35.06882795
마라17bb84bb,0,128.7941211,35.15221644
마라17bb85aa,0,128.7941568,35.15447017
마라17bb85ab,0,128.7941925,35.1567239
마라17bb85ba,0,128.7942282,35.15897762
마라18aa74ab,0,128.7953665,35.0575299
마라18aa84ba,0,128.7968294,35.14993338
마라18aa84bb,0,128.7968652,35.1521871
마라18aa85aa,0,128.7969009,35.15444082
마라18aa85ab,0,128.7969367,35.15669455
마라18aa85ba,0,128.7969725,35.15894827
마라18ab73ab,0,128.7979647,35.04848555
마라18ab73ba,0,128.7980004,35.05073932
마라18ab73bb,0,128.798036,35.05299308
마라18ab74aa,0,128.7980717,35.05524684
마라18ab84ab,0,128.7995376,35.14765025
마라18ab84ba,0,128.7995734,35.14990397
마라18ab84bb,0,128.7996092,35.15215769
마라18ab85aa,0,128.7996451,35.15441142
마라18ab85ab,0,128.7996809,35.15666514
마라18ab85ba,0,128.7997168,35.15891886
마라18ba73ab,0,128.8007053,35.0484562
마라18ba73ba,0,128.800741,35.05070996
마라18ba73bb,0,128.8007768,35.05296372
마라18ba74aa,0,128.8008125,35.05521747
마라18ba75aa,0,128.8009555,35.0642325
마라18ba75ab,0,128.8009913,35.06648625
마라18ba83ba,0,128.8021737,35.14085962
마라18ba83bb,0,128.8022096,35.14311334
마라18ba84aa,0,128.8022456,35.14536706
마라18ba84ab,0,128.8022815,35.14762078
마라18ba84ba,0,128.8023174,35.14987451
마라18ba84bb,0,128.8023533,35.15212823
마라18ba85aa,0,128.8023892,35.15438194
마라18ba85ab,0,128.8024251,35.15663566
마라18ba85ba,0,128.8024611,35.15888938
마라18ba85bb,0,128.802497,35.1611431
마라18bb73ab,0,128.8034459,35.04842678
마라18bb73ba,0,128.8034817,35.05068054
마라18bb73bb,0,128.8035175,35.05293429
마라18bb74aa,0,128.8035533,35.05518805
마라18bb75aa,0,128.8036966,35.06420306
마라18bb75ab,0,128.8037325,35.06645681
마라18bb83ba,0,128.8049174,35.1408301
마라18bb83bb,0,128.8049534,35.14308382
마라18bb84aa,0,128.8049894,35.14533754
마라18bb84ab,0,128.8050254,35.14759126
마라18bb84ba,0,128.8050613,35.14984498
마라18bb84bb,0,128.8050973,35.1520987
마라18bb85aa,0,128.8051333,35.15435241
마라18bb85ab,0,128.8051693,35.15660613
마라18bb85ba,0,128.8052053,35.15885984
마라18bb85bb,0,128.8052413,35.16111356
마라19aa70ab,0,128.8057561,35.02135218
마라19aa70ba,0,128.805792,35.02360595
마라19aa71ba,0,128.8059353,35.032621
마라19aa72bb,0,128.8061147,35.04388979
마라19aa73aa,0,128.8061506,35.04614355
마라19aa73ab,0,128.8061864,35.0483973
마라19aa73ba,0,128.8062223,35.05065106
마라19aa73bb,0,128.8062582,35.05290481
마라19aa74aa,0,128.8062941,35.05515856
마라19aa74ab,0,128.80633,35.05741231
마라19aa74ba,0,128.8063659,35.05966606
마라19aa74bb,0,128.8064018,35.06191981
마라19aa75aa,0,128.8064377,35.06417356
마라19aa75ab,0,128.8064737,35.06642731
마라19aa83ab,0,128.807625,35.1385468
마라19aa83ba,0,128.8076611,35.14080052
마라19aa83bb,0,128.8076971,35.14305424
마라19aa84aa,0,128.8077332,35.14530795
마라19aa84ab,0,128.8077693,35.14756167
마라19aa84ba,0,128.8078053,35.14981539
마라19aa84bb,0,128.8078414,35.1520691
마라19aa85aa,0,128.8078775,35.15432282
마라19aa85ab,0,128.8079135,35.15657653
마라19aa85ba,0,128.8079496,35.15883024
마라19ab70ab,0,128.8084958,35.02132267
마라19ab70ba,0,128.8085317,35.02357643
마라19ab71ab,0,128.8086395,35.03033771
마라19ab71ba,0,128.8086754,35.03259147
마라19ab71bb,0,128.8087113,35.03484523
마라19ab72ba,0,128.8088192,35.0416065
마라19ab72bb,0,128.8088551,35.04386025
마라19ab73aa,0,128.8088911,35.04611401
마라19ab73ab,0,128.808927,35.04836776
마라19ab73ba,0,128.808963,35.05062151
마라19ab73bb,0,128.808999,35.05287526
마라19ab74aa,0,128.8090349,35.05512901
마라19ab74ab,0,128.8090709,35.05738276
마라19ab74ba,0,128.8091069,35.05963651
마라19ab74bb,0,128.8091429,35.06189026
마라19ab75aa,0,128.8091788,35.06414401
마라19ab75ab,0,128.8092148,35.06639775
마라19ab75ba,0,128.8092508,35.0686515
마라19ab83aa,0,128.8103325,35.13626344
마라19ab83ab,0,128.8103686,35.13851716
마라19ab83ba,0,128.8104048,35.14077088
마라19ab83bb,0,128.8104409,35.14302459
마라19ab84aa,0,128.810477,35.14527831
마라19ab84ab,0,128.8105132,35.14753202
마라19ab84ba,0,128.8105493,35.14978573
마라19ab84bb,0,128.8105854,35.15203945
마라19ab85aa,0,128.8106216,35.15429316
마라19ab85ab,0,128.8106577,35.15654687
마라19ab85ba,0,128.8106939,35.15880058
마라19ba70aa,0,128.8111995,35.01903933
마라19ba70ab,0,128.8112355,35.02129309
마라19ba70ba,0,128.8112714,35.02354685
마라19ba71ab,0,128.8113794,35.03030813
마라19ba71ba,0,128.8114154,35.03256189
마라19ba71bb,0,128.8114515,35.03481564
마라19ba72aa,0,128.8114875,35.0370694
마라19ba72ab,0,128.8115235,35.03932315
마라19ba72ba,0,128.8115595,35.0415769
마라19ba72bb,0,128.8115955,35.04383065
마라19ba73aa,0,128.8116316,35.04608441
마라19ba73ab,0,128.8116676,35.04833816
마라19ba73ba,0,128.8117036,35.05059191
마라19ba73bb,0,128.8117397,35.05284565
마라19ba74aa,0,128.8117757,35.0550994
마라19ba74ab,0,128.8118118,35.05735315
마라19ba74ba,0,128.8118478,35.05960689
마라19ba74bb,0,128.8118839,35.06186064
마라19ba75aa,0,128.8119199,35.06411438
마라19ba75ab,0,128.811956,35.06636813
마라19ba75ba,0,128.8119921,35.06862187
마라19ba76ba,0,128.8121364,35.07763683
마라19ba76bb,0,128.8121725,35.07989057
마라19ba77aa,0,128.8122086,35.08214431
마라19ba82bb,0,128.8130398,35.13398002
마라19ba83aa,0,128.813076,35.13623374
마라19ba83ab,0,128.8131122,35.13848746
마라19ba83ba,0,128.8131484,35.14074117
마라19ba83bb,0,128.8131846,35.14299488
마라19ba84aa,0,128.8132208,35.1452486
마라19ba84ab,0,128.813257,35.14750231
