구,동,체감온도,일자
중구,중앙동,26,20180701
중구,동광동,26,20180701
중구,대청동,26,20180701
중구,보수동,26,20180701
중구,부평동,26,20180701
중구,광복동,26,20180701
중구,남포동,26,20180701
중구,영주제1동,26,20180701
중구,영주제2동,26,20180701
서구,동대신제1동,26,20180701
서구,동대신제2동,26,20180701
서구,동대신제3동,26,20180701
서구,서대신제1동,26,20180701
서구,서대신제3동,26,20180701
서구,서대신제4동,26,20180701
서구,부민동,26,20180701
서구,아미동,26,20180701
서구,초장동,26,20180701
서구,충무동,26,20180701
서구,남부민제1동,26,20180701
서구,남부민제2동,26,20180701
서구,암남동,24,20180701
동구,초량제1동,26,20180701
동구,초량제2동,26,20180701
동구,초량제3동,26,20180701
동구,초량제6동,26,20180701
동구,수정제1동,26,20180701
동구,수정제2동,26,20180701
동구,수정제4동,26,20180701
동구,수정제5동,26,20180701
동구,좌천동,25,20180701
동구,범일제1동,25,20180701
동구,범일제2동,25,20180701
동구,범일제5동,25,20180701
영도구,남항동,26,20180701
영도구,영선제1동,26,20180701
영도구,영선제2동,26,20180701
영도구,신선동,26,20180701
영도구,봉래제1동,26,20180701
영도구,봉래제2동,26,20180701
영도구,청학제1동,24,20180701
영도구,청학제2동,24,20180701
영도구,동삼제1동,23,20180701
영도구,동삼제2동,23,20180701
영도구,동삼제3동,24,20180701
부산진구,부전제1동,25,20180701
부산진구,부전제2동,25,20180701
부산진구,연지동,27,20180701
부산진구,초읍동,27,20180701
부산진구,양정제1동,25,20180701
부산진구,양정제2동,25,20180701
부산진구,전포제1동,25,20180701
부산진구,전포제2동,25,20180701
부산진구,부암제1동,26,20180701
부산진구,부암제3동,26,20180701
부산진구,당감제1동,26,20180701
부산진구,당감제2동,26,20180701
부산진구,당감제4동,26,20180701
부산진구,가야제1동,26,20180701
부산진구,가야제2동,26,20180701
부산진구,개금제1동,26,20180701
부산진구,개금제2동,26,20180701
부산진구,개금제3동,26,20180701
부산진구,범천제1동,25,20180701
부산진구,범천제2동,25,20180701
동래구,수민동,25,20180701
동래구,복산동,25,20180701
동래구,명륜동,26,20180701
동래구,온천제1동,26,20180701
동래구,온천제2동,25,20180701
동래구,온천제3동,25,20180701
동래구,사직제1동,25,20180701
동래구,사직제2동,25,20180701
동래구,사직제3동,25,20180701
동래구,안락제1동,25,20180701
동래구,안락제2동,25,20180701
동래구,명장제1동,25,20180701
동래구,명장제2동,25,20180701
남구,대연제1동,25,20180701
남구,대연제3동,25,20180701
남구,대연제4동,25,20180701
남구,대연제5동,25,20180701
남구,대연제6동,25,20180701
남구,용호제1동,23,20180701
남구,용호제2동,23,20180701
남구,용호제3동,23,20180701
남구,용호제4동,23,20180701
남구,용당동,24,20180701
남구,감만제1동,24,20180701
남구,감만제2동,24,20180701
남구,우암동,25,20180701
남구,문현제1동,25,20180701
남구,문현제2동,25,20180701
남구,문현제3동,25,20180701
남구,문현제4동,25,20180701
북구,구포제1동,27,20180701
북구,구포제2동,27,20180701
북구,구포제3동,27,20180701
북구,금곡동,26,20180701
북구,화명제1동,26,20180701
