,행정동,체감온도,온열질환자수,체감온도_표준화,온열질환자수_표준화,체감온도_표준화_가중치,온열질환자수_표준화_가중치,점수
1,가덕도동,29.32795699,23,0.803921569,1,0.1736,9.6049,9.7785
2,가락동,29.79032258,23,0.944444444,1,0.204,13.4651,13.6691
3,가야1동,28.66666667,9,0.602941177,0.333333333,0.1302,0.6888,0.819
4,가야2동,28.66666667,9,0.602941177,0.333333333,0.1302,0.6888,0.819
5,감만1동,27.83333333,11,0.349673201,0.428571429,0.0755,0.3535,0.429
6,감만2동,27.83333333,11,0.349673201,0.428571429,0.0755,0.3535,0.429
7,감전동,29.42473118,22,0.833333332,0.952380952,0.18,9.4327,9.6127
8,감천1동,28.33333333,9,0.501633986,0.333333333,0.1084,0.4712,0.5796
9,감천2동,28.33333333,9,0.501633986,0.333333333,0.1084,0.4712,0.5796
10,강동동,29.79032258,23,0.944444444,1,0.204,13.4651,13.6691
11,개금1동,28.66666667,9,0.602941177,0.333333333,0.1302,0.6888,0.819
12,개금2동,28.66666667,9,0.602941177,0.333333333,0.1302,0.6888,0.819
13,개금3동,28.66666667,9,0.602941177,0.333333333,0.1302,0.6888,0.819
14,거제1동,28.97311828,3,0.696078431,0.047619048,0.1504,0.0442,0.1946
15,거제2동,28.97311828,3,0.696078431,0.047619048,0.1504,0.0442,0.1946
16,거제3동,28.97311828,3,0.696078431,0.047619048,0.1504,0.0442,0.1946
17,거제4동,28.97311828,3,0.696078431,0.047619048,0.1504,0.0442,0.1946
18,광복동,28.33333333,2,0.501633986,0,0.1084,0,0.1084
19,광안1동,27.96236559,6,0.388888888,0.19047619,0.084,0.1065,0.1905
20,광안2동,27.96236559,6,0.388888888,0.19047619,0.084,0.1065,0.1905
21,광안3동,27.96236559,6,0.388888888,0.19047619,0.084,0.1065,0.1905
22,광안4동,27.96236559,6,0.388888888,0.19047619,0.084,0.1065,0.1905
23,괘법동,29.42473118,22,0.833333332,0.952380952,0.18,9.4327,9.6127
24,괴정1동,28.56451613,9,0.571895425,0.333333333,0.1235,0.6175,0.741
25,괴정2동,28.33333333,9,0.501633986,0.333333333,0.1084,0.4712,0.5796
26,괴정3동,28.33333333,9,0.501633986,0.333333333,0.1084,0.4712,0.5796
27,괴정4동,28.56451613,9,0.571895425,0.333333333,0.1235,0.6175,0.741
28,구서1동,29.05376344,3,0.720588235,0.047619048,0.1556,0.0475,0.2031
29,구서2동,29.05376344,3,0.720588235,0.047619048,0.1556,0.0475,0.2031
30,구평동,27.56989247,9,0.269607842,0.333333333,0.0582,0.1325,0.1907
31,구포1동,29.51612903,11,0.86111111,0.428571429,0.186,2.2733,2.4593
32,구포2동,29.93548387,11,0.988562091,0.428571429,0.2135,3.0385,3.252
33,구포3동,29.51612903,11,0.86111111,0.428571429,0.186,2.2733,2.4593
34,금곡동,29.97311828,11,1,0.428571429,0.216,3.1132,3.3292
35,금사회동동,29.32258065,3,0.802287583,0.047619048,0.1733,0.0594,0.2327
36,금성동,29.97311828,3,1,0.047619048,0.216,0.0943,0.3103
37,기장읍,28.48924731,6,0.549019607,0.19047619,0.1186,0.2162,0.3348
38,남부민1동,28.33333333,5,0.501633986,0.142857143,0.1084,0.1122,0.2206
39,남부민2동,28.33333333,5,0.501633986,0.142857143,0.1084,0.1122,0.2206
40,남산동,29.22580645,3,0.772875816,0.047619048,0.1669,0.0549,0.2218
41,남천1동,27.96236559,6,0.388888888,0.19047619,0.084,0.1065,0.1905
42,남천2동,27.96236559,6,0.388888888,0.19047619,0.084,0.1065,0.1905
43,남포동,28.33333333,2,0.501633986,0,0.1084,0,0.1084
44,남항동,28.33333333,8,0.501633986,0.285714286,0.1084,0.359,0.4674
45,녹산동,28.51075269,23,0.555555556,1,0.12,4.4591,4.5791
46,다대1동,27.56989247,9,0.269607842,0.333333333,0.0582,0.1325,0.1907
47,다대2동,27.56989247,9,0.269607842,0.333333333,0.0582,0.1325,0.1907
48,당감1동,28.66666667,9,0.602941177,0.333333333,0.1302,0.6888,0.819
49,당감2동,28.66666667,9,0.602941177,0.333333333,0.1302,0.6888,0.819
50,당감4동,28.66666667,9,0.602941177,0.333333333,0.1302,0.6888,0.819
51,당리동,28.56451613,9,0.571895425,0.333333333,0.1235,0.6175,0.741
52,대연1동,28.42473118,11,0.529411764,0.428571429,0.1144,0.8275,0.9419
53,대연3동,28.42473118,11,0.529411764,0.428571429,0.1144,0.8275,0.9419
54,대연4동,28.42473118,11,0.529411764,0.428571429,0.1144,0.8275,0.9419
55,대연5동,28.42473118,11,0.529411764,0.428571429,0.1144,0.8275,0.9419
56,대연6동,28.42473118,11,0.529411764,0.428571429,0.1144,0.8275,0.9419
57,대저1동,29.93548387,23,0.988562091,1,0.2135,14.8244,15.0379
58,대저2동,29.93548387,23,0.988562091,1,0.2135,14.8244,15.0379
59,대청동,28.33333333,2,0.501633986,0,0.1084,0,0.1084
60,덕천1동,29.51612903,11,0.86111111,0.428571429,0.186,2.2733,2.4593
61,덕천2동,29.51612903,11,0.86111111,0.428571429,0.186,2.2733,2.4593
62,덕천3동,29.51612903,11,0.86111111,0.428571429,0.186,2.2733,2.4593
63,덕포1동,29.42473118,22,0.833333332,0.952380952,0.18,9.4327,9.6127
64,덕포2동,29.93548387,22,0.988562091,0.952380952,0.2135,13.5046,13.7181
65,동광동,28.33333333,2,0.501633986,0,0.1084,0,0.1084
66,동대신1동,28.33333333,5,0.501633986,0.142857143,0.1084,0.1122,0.2206
67,동대신2동,28.33333333,5,0.501633986,0.142857143,0.1084,0.1122,0.2206
68,동대신3동,28.33333333,5,0.501633986,0.142857143,0.1084,0.1122,0.2206
69,동삼1동,26.6827957,8,0,0.285714286,0,0,0
70,동삼2동,26.6827957,8,0,0.285714286,0,0,0
71,동삼3동,27.83333333,8,0.349673201,0.285714286,0.0755,0.1714,0.2469
72,만덕1동,29.51612903,11,0.86111111,0.428571429,0.186,2.2733,2.4593
73,만덕2동,29.51612903,11,0.86111111,0.428571429,0.186,2.2733,2.4593
74,만덕3동,29.51612903,11,0.86111111,0.428571429,0.186,2.2733,2.4593
75,망미1동,28.97311828,6,0.696078431,0.19047619,0.1504,0.3535,0.5039
76,망미2동,28.73655914,6,0.624183006,0.19047619,0.1348,0.2819,0.4167
77,명륜동,29.05376344,11,0.720588235,0.428571429,0.1556,1.5669,1.7225
78,명장1동,28.97311828,11,0.988562091,0.428571429,0.2135,2.9409,3.1544
79,명장2동,28.97311828,11,0.988562091,0.428571429,0.2135,2.9409,3.1544
