"인허가번호","시도","시군구","법정동","대지구분","번","지","허가구분","허가번호","허가일","관리기관","건축구분","대지위치","지목","대지면적___","건축면적___","건폐율___","연면적___","용적률산전용면적___","용적률___","건축물명칭","주용도","주건축물수","부속건축물수","주차장_자주식_옥내_대_","주차장_자주식_옥외_대_","주차장_자주식_인근_대_","주차장_기계식_옥내_대_","주차장_기계식_옥외_대_","주차장_기계식_인근_대_","주차장_면제_대_","착공구분","착공예정일","착공처리일","사용승인구분","사용승인일","동명칭","주용도_동_","대표용도_동_","세대수_동_","호수_동_","가구수_동_","주구조_동_","기타구조_동_","지붕구조_동_","건축면적_동____","연면적_동____","용적률산정용면적_동____","지하층수_동_","지상층수_동_","높이_m_","승용승강기수_동_","비상용승강기수_동_","건축주상호명","시공자_상호명","시공자_등록번호","설계자_사무소명","설계자_등록번호","감리자_사무소명","감리자_등록번호"
"26110-100027575","부산광역시","중구","중앙동4가","대지","0090","0009","협의건축물","2018-창조건축과-협의건축물-1","20180115","부산시중구","신축",,"철도용지",6904.6,2050.79,29.7018,9792.56,6750.47,97.7677,"업무시설","업무시설",1,2,128,0,0,0,0,128,0,"착공","20200601","20200609",,,"주건축물제1동","업무시설","국가기관청사",0,0,0,"철근콘크리트구조",,"(철근)콘크리트",1931.57,9673.34,6631.25,2,5,26.9,"2","0",,"신수건설 주식회사","1248639144","(주)유선엔지니어링건축사사무소","1208197884","(주)동우이앤씨","5028123570"
"26110-100027575","부산광역시","중구","중앙동4가","대지","0090","0009","협의건축물","2018-창조건축과-협의건축물-1","20180115","부산시중구","신축",,"철도용지",6904.6,2050.79,29.7018,9792.56,6750.47,97.7677,"업무시설","업무시설",1,2,128,0,0,0,0,128,0,"착공","20200601","20200609",,,"부속건축물제2동","업무시설","국가기관청사",0,0,0,"철근콘크리트구조",,"(철근)콘크리트",106.08,106.08,106.08,0,1,4,"0","0",,"신수건설 주식회사","1248639144","(주)유선엔지니어링건축사사무소","1208197884","(주)동우이앤씨","5028123570"
"26110-100027575","부산광역시","중구","중앙동4가","대지","0090","0009","협의건축물","2018-창조건축과-협의건축물-1","20180115","부산시중구","신축",,"철도용지",6904.6,2050.79,29.7018,9792.56,6750.47,97.7677,"업무시설","업무시설",1,2,128,0,0,0,0,128,0,"착공","20200601","20200609",,,"부속건축물제3동","업무시설","국가기관청사",0,0,0,"철근콘크리트구조",,"(철근)콘크리트",13.14,13.14,13.14,0,1,4.75,"0","0",,"신수건설 주식회사","1248639144","(주)유선엔지니어링건축사사무소","1208197884","(주)동우이앤씨","5028123570"
"26110-100030316","부산광역시","중구","보수동3가","대지","0061","0019","신축허가","2019-재생건축과-신축허가-3","20190411","부산시중구","신축","부산광역시 중구 흑교로59번길 16-12 (보수동3가)","대",369,246.25,66.73,2907.73,2744.62,743.8,"보수동3가 61-19 (주식회사에이치더블유)","업무시설",1,0,2,0,0,34,0,2,0,"착공","20200626","20200626",,,"주건축물제1동","업무시설","오피스텔",0,33,0,"철근콘크리트구조","철근콘크리트조","(철근)콘크리트",246.25,2907.73,2744.62,1,15,47.6,"0","1",,"한웅건설(주)","6038161727","(주)비전21 건축사사무소","6078159432","(주)제이비 건축사사무소","4758101177"
"26110-100032657","부산광역시","중구","영주동","대지","0074","0002","신축허가","2020-재생건축과-신축허가-1","20200302","부산시중구","신축","부산광역시 중구 동영로93번길 4-1 (영주동)","대",217.2,124.8,57.46,462.08,462.08,212.74,,"단독주택",1,0,0,8,0,0,0,0,0,"착공","20200615","20200603",,,"주건축물제1동","단독주택","다가구주택",0,4,12,"철근콘크리트구조","철근콘크리트구조","(철근)콘크리트",124.8,462.08,462.08,0,6,19.85,"1","0",,"정우종합건설(주)","3078146129","(주)심지건축 종합건축사사무소","6078614314","(주)심지건축 종합건축사사무소","6078614314"
"26110-100032856","부산광역시","중구","영주동","대지","0642","0001","신축허가","2020-재생건축과-신축허가-3","20200327","부산시중구","신축","부산광역시 중구 대영로226번안길 5 (영주동)","대",178.5,140.76,78.86,1321.86,1210.79,678.31,,"업무시설",1,0,1,0,0,16,0,1,0,"착공","20200619","20200629",,,"주건축물제1동","업무시설","오피스텔",0,34,0,"철근콘크리트구조",,"(철근)콘크리트",140.76,1321.86,1321.86,0,11,32.1,"1","0",,"(주)퍼스트종합건설","2338801607","에이텍건축사사무소","3425300201","수만채건축사사무소","6052525828"
"26110-100033016","부산광역시","중구","대청동1가","대지","0030","0002","신축신고","2020-재생건축과-신축신고-1","20200422","부산시중구","신축",,"대",79.3,63.24,79.75,78.24,78.24,98.66,"대청동1가 30-2 제2종근린생활시설 (공천운)","제2종근린생활시설",1,0,0,1,0,0,0,0,0,"착공","20200608","20200608",,,"주건축물제1동","제2종근린생활시설","사무소",0,0,0,"철근콘크리트구조","철근콘크리트조","(철근)콘크리트",63.24,78.24,78.24,0,2,6.6,"0","0",,,,"(주)조양 종합건축사사무소","6078161210",,
"26110-100033136","부산광역시","중구","중앙동1가","대지","0022","0002","신축허가","2020-재생건축과-신축허가-6","20200512","부산시중구","신축",,"대",197.94,156.62,79.125,817.59,764.72,386.3393,"중앙동1가 22-2 숙박시설 (노진수)","숙박시설",1,0,,,,,,,,"착공","20200723","20200727",,,"주건축물제1동","숙박시설","호스텔",0,0,0,"철근콘크리트구조",,"(철근)콘크리트",156.62,817.59,764.72,1,5,20.5,"1","0",,"(주)경덕건설","6228125737","건축사사무소 엠오씨","7397700148","건축사사무소 엠오씨","7397700148"
"26110-100033156","부산광역시","중구","보수동1가","대지","0028","0003","신축허가","2020-재생건축과-신축허가-7","20200514","부산시중구","신축","부산광역시 중구 보수대로140번길 46-1 (보수동1가)","대",244.4,145.9,59.6972,580.42,580.42,237.4877,"보수동1가 28-3 공동주택 (권태오)","공동주택",1,0,7,0,0,0,0,7,0,"착공","20200624","20200626",,,"주건축물제1동","공동주택","다세대주택",12,0,0,"철근콘크리트구조",,"(철근)콘크리트",145.9,580.42,580.42,0,5,16.05,"1","0",,"석홍종합건설(주)","6058181277","종합건축사사무소 비앤비",,"도흥건축사사무소","3431400826"
"26110-100033376","부산광역시","중구","창선동2가","대지","0046","0003","대수선허가","2020-재생건축과-대수선허가-7","20200610","부산시중구","대수선","부산광역시 중구 광복로 34-1 (창선동2가)","대",181.8,145.22,79.88,770.6,623.36,342.89,"창선동2가 46-3 제2종근린생활시설 (전혜정)","제2종근린생활시설",1,0,,,,,,,,"착공","20200730","20200730",,,,"제1종근린생활시설","기타제1종근린생활시설",0,0,0,"철근콘크리트구조","철근콘크리트","(철근)콘크리트",0,0,0,1,5,16,"1","0",,"(주)청인종합건설","8948601408","성우ACE종합건축사사무소","6071673848",,
